,episode,score,Q_sum
359,359.0,1.0,432921.437271568
360,360.0,1.0,434832.0895694289
361,361.0,0.0,436934.91297436436
362,362.0,0.0,438735.97737749235
363,363.0,0.0,441139.9744066242
364,364.0,0.0,443007.12088907295
365,365.0,0.0,444072.961874563
366,366.0,0.0,446610.0784008478
367,367.0,0.0,448759.93644331646
368,368.0,1.0,450860.7798817483
369,369.0,0.0,452686.96582676296
370,370.0,0.0,454884.6877381729
371,371.0,0.0,457019.69877673086
372,372.0,1.0,459413.7747443969
373,373.0,0.0,461742.3267309788
374,374.0,0.0,463449.34675009677
375,375.0,1.0,465909.1636688023
376,376.0,1.0,467847.41639278457
377,377.0,1.0,469505.75530979363
378,378.0,0.0,471606.85415790434
379,379.0,0.0,473726.81012756785
380,380.0,0.0,476177.5712670811
381,381.0,1.0,478407.26806151145
382,382.0,2.0,481079.6094574228
383,383.0,0.0,482742.86334977986
384,384.0,0.0,484796.81933266565
385,385.0,1.0,486320.20130272006
386,386.0,1.0,487904.56648958917
387,387.0,0.0,489674.48940048955
388,388.0,0.0,491468.45134500606
389,389.0,0.0,492622.95113265986
390,390.0,1.0,494681.8586524833
391,391.0,2.0,497284.67123752093
392,392.0,0.0,499453.48028884234
393,393.0,1.0,501932.55883569294
394,394.0,1.0,504387.78947541805
395,395.0,0.0,505963.21499631007
396,396.0,1.0,507883.28302737506
397,397.0,0.0,509562.6000714263
398,398.0,0.0,510720.01699623413
399,399.0,2.0,512467.4642187802
400,400.0,0.0,514245.5915031727
401,401.0,0.0,516942.34271772334
402,402.0,0.0,518472.22151167406
403,403.0,0.0,520688.1809617309
404,404.0,1.0,523222.6345350309
405,405.0,0.0,525256.4047158536
406,406.0,0.0,527380.0705091427
407,407.0,1.0,529490.7292324898
408,408.0,0.0,532231.3605621886
409,409.0,1.0,534729.3943501387
410,410.0,0.0,536129.8413956366
411,411.0,0.0,538016.9227136468
412,412.0,0.0,540063.9597894859
413,413.0,0.0,541492.2664284488
414,414.0,0.0,543892.3431400008
415,415.0,0.0,545545.635501109
416,416.0,1.0,548006.1771632164
417,417.0,0.0,550279.9691828483
418,418.0,0.0,552000.8211013713
419,419.0,1.0,553841.5134557891
420,420.0,0.0,555936.3490040821
421,421.0,0.0,557719.3549403285
422,422.0,0.0,559642.6098650371
423,423.0,0.0,560677.4169031826
424,424.0,0.0,563277.1866635456
425,425.0,0.0,565357.5680090254
426,426.0,1.0,567535.1787580829
427,427.0,0.0,569360.1780782407
428,428.0,0.0,571578.6075002709
429,429.0,0.0,573019.9302788607
430,430.0,1.0,575779.7948415824
431,431.0,0.0,577882.4092716121
432,432.0,2.0,579644.6867978356
433,433.0,0.0,582036.6718253528
434,434.0,0.0,584373.297171939
435,435.0,0.0,586075.9097628521
436,436.0,1.0,588040.6410496981
437,437.0,0.0,589784.4513891218
438,438.0,0.0,591085.3947155074
439,439.0,0.0,593138.5438897265
440,440.0,0.0,594380.6786631341
441,441.0,0.0,596696.4339468996
442,442.0,0.0,598441.6291234861
443,443.0,1.0,600522.6180664903
444,444.0,0.0,602694.3654218623
445,445.0,1.0,604889.6834114026
446,446.0,1.0,607120.1762646869
447,447.0,0.0,608967.3591843565
448,448.0,0.0,610657.4013689323
449,449.0,2.0,612673.2981320574
450,450.0,0.0,613347.3779686468
451,451.0,0.0,615941.1939230324
452,452.0,0.0,617249.7755189962
453,453.0,1.0,618513.7060480317
454,454.0,1.0,619722.2010692672
455,455.0,0.0,622118.2468474833
456,456.0,0.0,623551.4134550272
457,457.0,0.0,625495.6032472169
458,458.0,0.0,627285.4297601755
459,459.0,0.0,629173.0090548417
460,460.0,0.0,631170.7146244373
461,461.0,1.0,633685.5777147836
462,462.0,0.0,635093.9163574541
463,463.0,1.0,636739.4237775881
464,464.0,0.0,638317.8863111177
465,465.0,0.0,640712.8415369724
466,466.0,0.0,641928.2620742421
467,467.0,1.0,643604.122408624
468,468.0,0.0,644608.9264593536
469,469.0,2.0,647115.144905016
470,470.0,1.0,649353.6432080898
471,471.0,1.0,651074.2704925401
472,472.0,0.0,653535.2726829338
473,473.0,0.0,654961.7856200956
474,474.0,1.0,657448.1749032424
475,475.0,0.0,660337.3205977923
476,476.0,1.0,662562.4178638717
477,477.0,1.0,665362.2163867598
478,478.0,1.0,668438.4487831751
479,479.0,0.0,670432.1802962152
480,480.0,0.0,672366.2056009907
481,481.0,0.0,674033.8770230336
482,482.0,1.0,675860.1209987443
483,483.0,0.0,677524.1949216934
484,484.0,0.0,679440.5404841565
485,485.0,0.0,681062.2439821372
486,486.0,1.0,683506.9685602522
487,487.0,0.0,686404.0704637417
488,488.0,0.0,689253.9016421199
489,489.0,0.0,690422.2753448527
490,490.0,0.0,692884.3299462543
491,491.0,0.0,695391.7242843738
492,492.0,0.0,697293.3711199985
493,493.0,2.0,700153.6764663531
494,494.0,1.0,701985.6201097836
